ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部(絶対),暗部(平坦化),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),コイン半径,総合判定
50yen_001.jpeg,1,1,OK,2846,2322,0,0,OK,0.0,155,OK
50yen_002.jpeg,1,1,OK,1769,1008,0,0,OK,6.0,120,OK
50yen_003.jpeg,1,1,OK,358,1140,0,0,OK,0.0,96,OK
50yen_004.jpeg,1,1,OK,1216,1099,0,0,OK,0.0,100,OK
50yen_005.jpeg,1,1,OK,1808,629,0,0,OK,0.0,117,OK
50yen_006.jpeg,1,1,OK,526,1052,0,0,OK,0.0,120,OK
50yen_007.jpeg,1,1,OK,1561,1260,1,1,OK,20.5,74,OK
50yen_008.jpeg,1,1,OK,1812,1559,0,1,NG,15.1,102,NG
50yen_009.jpeg,1,1,OK,1313,837,0,1,NG,25.5,96,NG
50yen_010.jpeg,1,1,OK,105,845,1,0,NG,11.7,220,NG
50yen_011.jpeg,0,1,NG,75,432,0,0,OK,0.0,141,NG
50yen_012.jpeg,0,1,NG,8,259,0,0,OK,6.4,148,NG
50yen_013.jpeg,1,0,NG,0,92,0,0,OK,0.0,77,NG
50yen_014.jpeg,1,1,OK,17,240,0,0,OK,0.0,174,OK
